Waktu,ausmi
9/1/1970,-0.046
10/1/1970,-0.637
11/1/1970,0.223
12/1/1970,0.768
1/1/1971,-0.009
2/1/1971,0.508
3/1/1971,1.546
4/1/1971,0.849
5/1/1971,1.24
6/1/1971,0.079
7/1/1971,-0.099
8/1/1971,-0.228
9/1/1971,-1.35
10/1/1971,0.068
11/1/1971,1.322
12/1/1971,0.258
1/1/1972,-0.248
2/1/1972,-0.476
3/1/1972,1.178
4/1/1972,-1.164
5/1/1972,-1.31
6/1/1972,-1.293
7/1/1972,-1.316
8/1/1972,-0.222
9/1/1972,-2.311
10/1/1972,-2.217
11/1/1972,-2.178
12/1/1972,-1.969
1/1/1973,0.329
2/1/1973,-0.476
3/1/1973,0.733
4/1/1973,-0.22
5/1/1973,0.277
6/1/1973,0.901
7/1/1973,-1.379
8/1/1973,0.065
9/1/1973,-0.237
10/1/1973,-1.581
11/1/1973,2.166
12/1/1973,0.193
1/1/1974,3.659
2/1/1974,0.496
3/1/1974,1.697
4/1/1974,0.901
5/1/1974,0.386
6/1/1974,0.043
7/1/1974,0.716
8/1/1974,1.237
9/1/1974,0.379
10/1/1974,0.159
11/1/1974,0.659
12/1/1974,-0.294
1/1/1975,-0.512
2/1/1975,0.615
3/1/1975,0.906
4/1/1975,1.124
5/1/1975,-0.361
6/1/1975,1.418
7/1/1975,-0.544
8/1/1975,0.618
9/1/1975,0.355
10/1/1975,2.154
11/1/1975,0.652
12/1/1975,1.187
1/1/1976,2.015
2/1/1976,0.543
3/1/1976,1.381
4/1/1976,-0.547
5/1/1976,-0.374
6/1/1976,-0.411
7/1/1976,0.242
8/1/1976,0.214
9/1/1976,0.351
10/1/1976,2.149
11/1/1976,0.765
12/1/1976,-0.194
1/1/1977,0.317
2/1/1977,0.316
3/1/1977,1.87
4/1/1977,-0.199
5/1/1977,1.367
6/1/1977,0.133
7/1/1977,-0.487
8/1/1977,-0.183
9/1/1977,0.031
10/1/1977,-1.362
11/1/1977,-0.432
12/1/1977,-0.369
1/1/1978,0.003
2/1/1978,-0.085
3/1/1978,-0.792
4/1/1978,0.359
5/1/1978,2.259
6/1/1978,2.444
7/1/1978,3.575
8/1/1978,0.212
9/1/1978,0.86
10/1/1978,-0.774
11/1/1978,-0.674
12/1/1978,0.028
1/1/1979,0.989
2/1/1979,-0.432
3/1/1979,0.424
4/1/1979,-0.121
5/1/1979,1.811
6/1/1979,-1.292
7/1/1979,-1.011
8/1/1979,0.318
9/1/1979,0.318
10/1/1979,-0.131
11/1/1979,-1.703
12/1/1979,-1.129
1/1/1980,0.724
2/1/1980,0.637
3/1/1980,0.09
4/1/1980,0.056
5/1/1980,-0.848
6/1/1980,-0.195
7/1/1980,1.121
8/1/1980,-0.652
9/1/1980,-1.292
10/1/1980,0.599
11/1/1980,-0.823
12/1/1980,-1.238
1/1/1981,1.874
2/1/1981,1.143
3/1/1981,-1.275
4/1/1981,-0.433
5/1/1981,0.37
6/1/1981,1.833
7/1/1981,-0.076
8/1/1981,-0.289
9/1/1981,-0.39
10/1/1981,-1.024
11/1/1981,1.161
12/1/1981,0.123
1/1/1982,0.872
2/1/1982,0.063
3/1/1982,0.74
4/1/1982,-0.367
5/1/1982,-0.076
6/1/1982,-0.059
7/1/1982,-0.557
8/1/1982,-0.522
9/1/1982,0.261
10/1/1982,-1.149
11/1/1982,-1.872
12/1/1982,-1.278
1/1/1983,-1.22
2/1/1983,-1.677
3/1/1983,0.883
4/1/1983,1.701
5/1/1983,0.416
6/1/1983,0.047
7/1/1983,-0.307
8/1/1983,-0.655
9/1/1983,-0.633
10/1/1983,-0.031
11/1/1983,0.97
12/1/1983,-1.096
1/1/1984,0.026
2/1/1984,-0.397
3/1/1984,0.187
4/1/1984,-1.093
5/1/1984,-1.317
6/1/1984,-1.904
7/1/1984,0.54
8/1/1984,1.073
9/1/1984,1.523
10/1/1984,-0.169
11/1/1984,-0.533
12/1/1984,1.166
1/1/1985,-1.243
2/1/1985,-0.594
3/1/1985,0.766
4/1/1985,0.557
5/1/1985,0.244
6/1/1985,1.002
7/1/1985,0.651
8/1/1985,-0.225
9/1/1985,0.165
10/1/1985,1.77
11/1/1985,0.818
12/1/1985,-0.474
1/1/1986,1.045
2/1/1986,-0.482
3/1/1986,-1.161
4/1/1986,-0.035
5/1/1986,-0.204
6/1/1986,1.476
7/1/1986,3.082
8/1/1986,1.868
9/1/1986,1.487
10/1/1986,2.313
11/1/1986,-0.478
12/1/1986,-1.369
1/1/1987,0.858
2/1/1987,1.184
3/1/1987,-1.615
4/1/1987,-0.782
5/1/1987,-1.454
6/1/1987,-0.129
7/1/1987,0.083
